641489 11:31:08.978281 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000081>
641489 11:31:08.978422 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001122>
641489 11:31:08.979712 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000011>
641489 11:31:08.979773 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001137>
641489 11:31:08.981036 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000085>
641489 11:31:08.981181 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001260>
641489 11:31:08.982524 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000085>
641489 11:31:08.982765 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001224>
641489 11:31:08.984132 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000083>
641489 11:31:08.984336 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001249>
641489 11:31:08.985761 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000101>
641489 11:31:08.985919 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001237>
641489 11:31:08.987288 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000075>
641489 11:31:08.987415 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001071>
641489 11:31:08.988660 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000081>
641489 11:31:08.988888 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001236>
641489 11:31:08.990260 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000077>
641489 11:31:08.990389 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001132>
641489 11:31:08.991631 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000020>
641489 11:31:08.991736 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001090>
641489 11:31:08.992895 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000010>
641489 11:31:08.992970 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001089>
641489 11:31:08.994116 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000009>
641489 11:31:08.994172 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001097>
641489 11:31:08.995391 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000012>
641489 11:31:08.995453 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001064>
641489 11:31:08.996567 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000011>
641489 11:31:08.996634 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001087>
641489 11:31:08.997771 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000009>
641489 11:31:08.997822 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001234>
641489 11:31:08.999146 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000049>
641489 11:31:08.999251 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001076>
641489 11:31:09.000387 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000014>
641489 11:31:09.000466 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001073>
641489 11:31:09.001611 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000019>
641489 11:31:09.001689 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001104>
641489 11:31:09.002846 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000009>
641489 11:31:09.002905 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001102>
641489 11:31:09.004132 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000081>
641489 11:31:09.004361 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001155>
641489 11:31:09.005633 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000011>
641489 11:31:09.005696 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001102>
641489 11:31:09.006931 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000073>
641489 11:31:09.007131 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001176>
641489 11:31:09.008418 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000012>
641489 11:31:09.008494 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001097>
641489 11:31:09.009735 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000087>
641489 11:31:09.009933 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001105>
641489 11:31:09.011174 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000063>
641489 11:31:09.011320 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001073>
641489 11:31:09.012464 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000020>
641489 11:31:09.012596 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001069>
641489 11:31:09.013722 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000011>
641489 11:31:09.013782 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001144>
641489 11:31:09.014992 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000012>
641489 11:31:09.015069 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001211>
641489 11:31:09.016390 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000012>
641489 11:31:09.016470 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001125>
641489 11:31:09.017689 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000048>
641489 11:31:09.017799 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001098>
641489 11:31:09.019027 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000071>
641489 11:31:09.019169 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001205>
641489 11:31:09.020445 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000013>
641489 11:31:09.020552 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001139>
641489 11:31:09.021805 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000015>
641489 11:31:09.021884 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001071>
641489 11:31:09.023109 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000031>
641489 11:31:09.023303 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001203>
641489 11:31:09.024671 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000094>
641489 11:31:09.024904 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001120>
641489 11:31:09.026143 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000103>
641489 11:31:09.026380 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001077>
641489 11:31:09.027651 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000043>
641489 11:31:09.027770 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001078>
641489 11:31:09.028966 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000057>
641489 11:31:09.029164 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001248>
641489 11:31:09.030503 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000020>
641489 11:31:09.030626 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001131>
641489 11:31:09.031855 poll([{fd=3, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000080>
641489 11:31:09.032037 poll([{fd=0, events=POLLIN}], 1, 1) = 0 (Timeout) <0.001148>
641489 11:31:09.033386 poll([{fd=3, events=POLLIN}], 1, 0) = 1 ([{fd=3, revents=POLLIN}]) <0.000047>
641489 11:31:09.033689 poll([{fd=0, events=POLLIN}], 1, 0) = 0 (Timeout) <0.000024>
641489 11:31:09.033841 read(3, "\24\3\3\0\1", 5) = 5 <0.000088>
641489 11:31:09.034035 read(3, "\1", 1) = 1 <0.000022>
